S.no.,Year,State,TFR,Pop,PR,Birth,BR
320,2050,tamil nadu,1.81,83442846,-0.005707607,4228437,-0.033522079
321,2050,tripura,1.24,4384801,-0.012702287,131436,-0.066009313
322,2050,uttar pradesh,1.88,303005905,0.021467288,20547963,-0.049637767
323,2050,uttarakhand,1.84,15108206,0.027542119,853379,-0.02956834
324,2050,west bengal,1.54,109234640,-0.006430826,4842395,-0.038370889
325,2055,andaman & nicobar islands,1.7,655766,0.023605981,30741,0.004846947
326,2055,andhra pradesh,1.78,103903812,-0.00452917,4948715,-0.022589501
327,2055,arunachal pradesh,1.48,2450994,0.024053914,107985,-0.025827661
328,2055,assam,1.94,45039295,0.010652254,2799754,-0.016226068
329,2055,bihar,1.92,164072366,0.019709065,10854086,-0.043225657
330,2055,chandigarh,1.53,2431392,0.041813496,112530,0.003856749
331,2055,chhattisgarh,1.94,36763285,0.011397703,2320522,-0.022342818
332,2055,dadra & nagar haveli,1.75,986910,0.052400928,46786,-0.001261061
333,2055,daman & diu,1.76,771668,0.056822364,29334,0.016601895
334,2055,goa,1.42,2297065,0.019052574,84257,-0.00337064
335,2055,gujarat,1.76,87960698,0.009732131,4469726,-0.019127571
336,2055,haryana,1.83,43088840,0.026944471,2348446,-0.004875565
337,2055,himachal pradesh,1.79,9183099,0.006414392,438507,-0.01617534
339,2055,jammu & kashmir,1.62,16669023,0.001395583,739031,-0.023594409
340,2055,jharkhand,1.84,49612585,0.01441213,2985167,-0.035302213
341,2055,karnataka,1.8,79197442,0.000974413,3953615,-0.018349536
342,2055,kerala,1.7,36302500,-0.018592163,1646375,-0.04396143
343,2055,lakshadweep,1.38,119821,0.027657923,3954,-0.00657562
344,2055,madhya pradesh,1.89,113143743,0.017728784,7061126,-0.023823537
345,2055,maharashtra,1.74,166681991,0.014874834,7900849,-0.008549967
346,2055,manipur,1.33,3128562,-0.025808343,93351,-0.075114353
347,2055,meghalaya,1.7,4572752,0.014051057,246708,-0.019662921
